martijn@gmail.com;123;Appelmansstraat   ;56;9380 DW;Oudeschans;706-9859080;NL45HCKB4364986607;NL45HCKB1605740802;Martijn;de;Haar;118014300;M;10/01/1974
ling@gmail.com;123;Paul Housmansstraat  ;2;6103 DC;Heetveld;400-3765607;NL45HCKB2321733888;NL45HCKB6715090599;Ling;;Ip;118014301;V;12/09/1945
anne@gmail.com;123;Vijfde Havendok  ;110;4416 DJ;Loobeek;837-4805043;NL45HCKB2050144172;NL45HCKB2627755129;Anne;van den;Bosch;118014302;M;22/04/1948
sjors@gmail.com;123;Akkerwindestraat   ;125;9767 DO;Hensbroek;060-1066496;NL45HCKB8668437399;NL45HCKB0209613971;Sjors;;Koevoets;118014303;M;13/07/1974
roeland@gmail.com;123;Veltwijcklaan   ;91;1442 IV;Haaften;081-6425299;NL45HCKB2929804009;NL45HCKB2465072439;Roeland;;Kulk;118014304;V;16/07/1980
ruben@gmail.com;123;Emelinusstraat   ;92;4262 HN;De Polle;010-2209787;NL45HCKB9895158459;NL45HCKB6190136389;Ruben;van den ;Akker;118014305;M;19/04/1988
young_landry4445@mailc.net;123;Moeshofstraat   ;29;9546 RA;Godlinze;641-8884127;NL45HCKB2560820390;NL45HCKB7348033946;Young;;Landry;118014307;M;12/08/1993
ruloffs4502@speedymail.org;123;Boeksveldplein   ;40;2748 BP;Wijthmen;093-7924614;NL45HCKB8765552814;NL45HCKB4123645585;Lisha;U.G.;Ruloffs;118014308;V;17/04/1973
stanley2907@150ml.com;123;Blauweweg   ;188;5155 RY;Laren;569-1654750;NL45HCKB5657314069;NL45HCKB5564376218;Stanley;X.T.U.;Hood;118014309;M;23/12/1976
francisco_vandergoot3982@fastmail.es;123;Hollebeekstraat   ;112;7657 US;Boskoop;098-2819187;NL45HCKB9331042183;NL45HCKB0574681175;Francisco;V.;van der Goot;118014310;V;10/04/1988
moises_bell5893@petml.com;123;Gaspar Verreyckenstraat  ;169;9445 GV;Duizel;012-7961241;NL45HCKB4512458956;NL45HCKB4973529222;Moises;;Bell;118014311;M;16/10/1991
emily8023@internet-mail.org;123;Stierstraat   ;101;5953 AN;Westeind;9830-527217;NL45HCKB3167866330;NL45HCKB2757902903;Emily;H.K.;Maddox;118014312;V;28/03/1951
darron_murray3670@veryfast.biz;123;Stanislas Leclefstraat  ;45;4753 GQ;Vredepeel;391-1064567;NL45HCKB3992889386;NL45HCKB5192255619;Darron;G.F.;Murray;118014313;M;17/09/1946
best4722@imap.cc;123;De Heemlaan  ;63;3751 SC;Muggenhol;112-8230760;NL45HCKB1336919876;NL45HCKB5245807130;Mirna;B.Q.;Best;118014314;V;25/10/1964
snuif4346@2-mail.com;123;Molenveld   ;56;7015 ZC;Zuid-Scharwoude;956-7445936;NL45HCKB1525554336;NL45HCKB4244056912;Reba;;Snuif;118014315;V;09/11/1944
elwanda4856@hotmail.com;123;Sentensteeg   ;129;9435 ZP;Lutjewinkel;062-7530398;NL45HCKB5817588498;NL45HCKB6895581669;Elwanda;;Reilly;118014316;V;01/05/1997
robertson200@mailc.net;123;Leugenberg   ;188;7249 CG;Kaakhorn;590-6437538;NL45HCKB6933138747;NL45HCKB5042155880;Clifton;N.G.R.;Robertson;118014317;M;12/07/1994
sidney_prijs1372@postinbox.com;123;Arendshoflaan   ;161;3059 MM;Gersloot;026-3330519;NL45HCKB9055355275;NL45HCKB1491659165;Sidney;;Prijs;118014318;M;17/08/1977
allan_mcguire9391@imapmail.org;123;Walenhoek   ;40;4922 OC;Nieuw Annerveen;024-5394721;NL45HCKB1811959040;NL45HCKB4193867536;Allan;;Mcguire;118014319;M;30/01/1980
mills1280@fastmail.us;123;Irislei   ;123;7267 HT;De Bocht;8638-779988;NL45HCKB5582440534;NL45HCKB1788550218;Min;;Mills;118014320;V;16/02/1940
mendelaar7994@fastimap.com;123;Serigiersstraat   ;134;5310 LU;Biervliet;058-7747463;NL45HCKB8583025126;NL45HCKB7355831992;Coral;;Mendelaar;118014321;V;08/08/1998
prijs5209@fastmail.co.uk;123;Langstraat   ;94;4994 SR;Boshuizen;661-6615910;NL45HCKB1807190560;NL45HCKB1214790739;Patria;;Prijs;118014322;V;21/06/1962
luise_farley5284@emailuser.net;123;Mozartstraat   ;66;6196 ID;Wyns;088-5745224;NL45HCKB1202511759;NL45HCKB9060516923;Luise;O.;Farley;118014324;V;30/04/1963
bonita_allan2555@gmail.com;123;Zandweellaan   ;157;3766 NZ;Heult;2911-807876;NL45HCKB9634569196;NL45HCKB4503591770;Bonita;;Allan;118014325;V;17/01/1966
glen6588@fastmailbox.net;123;Slijkweg   ;105;8935 CV;De Lytse Gaastmar;5716-393682;NL45HCKB5454712264;NL45HCKB7304407751;Glen;;Tyler;118014326;M;04/04/1988
